United States	US	East Lansing	42.7282981872559	-84.4881973266602
Italy	IT	Rome	41.9000015258789	12.4833002090454
Portugal	PT	Fafe	41.4500007629395	-8.16670036315918
Poland	PL	Sobótka	50.9000015258789	16.75
United States	US	Oklahoma City	35.4715003967285	-97.5189971923828
United States	US	Rochester	43.1299018859863	-77.6082000732422
United States	US	Davis	38.4828987121582	-121.639801025391
Italy	IT	Pordenone	45.9639015197754	12.6575002670288
United States	US	Boston	42.3424987792969	-71.0677032470703
United States	US	Boston	42.342399597168	-71.0877990722656
United States	US	Davis	38.4828987121582	-121.639801025391
France	FR	Paris	48.86669921875	2.33330011367798
France	FR	Paris	48.86669921875	2.33330011367798
United States	US	Bloomington	39.1679000854492	-86.5168991088867
United States	US	Salt Lake City	40.7854995727539	-111.736701965332
China	CN	Wuhan	30.5832996368408	114.266700744629
France	FR	Saint Louis	43.38330078125	4.80000019073486
United States	US	Boston	42.3424987792969	-71.0677032470703
United States	US	Houston	29.7754993438721	-95.4151992797852
United States	US	University Park	40.8077011108398	-77.8615036010742
United States	US	La Jolla	32.8806991577148	-117.235900878906
Italy	IT	Veronella	45.3166999816895	11.3166999816895
United States	US	Memphis	35.2016983032227	-89.9714965820312
Croatia	HR	Dubravica	45.9500007629395	15.7333002090454
United States	US	Philadelphia	39.9597015380859	-75.1968002319336
China	CN	Shanghai	31.0049991607666	121.408599853516
Israel	IL	Haifa	32.815601348877	34.989200592041
Switzerland	CH	Epalinges	46.5499992370605	6.66669988632202
United States	US	Bar Harbor	44.3760986328125	-68.2757034301758
United States	US	Ipswich	42.6824989318848	-70.8470001220703
China	CN	Wuhan	30.5832996368408	114.266700744629
Netherlands	NL	Wageningen	51.9667015075684	5.66669988632202
United States	US	Providence	41.8378982543945	-71.3932037353516
United Kingdom	GB	Manchester	53.5	-2.21670007705688
Brazil	BR	Campinas	-22.8999996185303	-47.0833015441895
China	CN	Guangzhou	23.11669921875	113.25
France	FR	Rennes	48.0833015441895	-1.68330001831055
United Kingdom	GB	Mayfield	51.0	0.25
Switzerland	CH	Basel	47.5666999816895	7.59999990463257
